Codice Scuola,Denominazione,Comune,Indirizzo,indirizzo_completo,latitudine,longitudine,km_bici,minuti_bici,distanza_km,codice scuola,denominazione scuola,sum_COMUNE,sum_CON METODO MONTESSORI,sum_SOSTEGNO PSICOFISICO
MIAA8D9004,I.C. BONVESIN DE LA RIVA,LEGNANO,"Via Bonvesin de la Riva 5, 20025 LEGNANO MI","lombardia, italia, via bonvesin de la riva 5, 20025 legnano mi, legnano",45.5889787,8.9187451,39.64,142.66,37.72,MIAA8D9004,I.C. BONVESIN DE LA RIVA,0,0,2
MIAA8DB009,IC DON MILANI,NOVATE MILANESE,"Via F.lli Bandiera 27, 20026 NOVATE MILANESE MI","lombardia, italia, via f.lli bandiera 27, 20026 novate milanese mi, novate milanese",45.5324632,9.1374113,16.94,57.48,22.33,MIAA8DB009,IC DON MILANI,0,0,2
MIAA8DL00D,IC G. TARRA,BUSTO GAROLFO,"Via F. Corridoni 2, 20020 BUSTO GAROLFO MI","lombardia, italia, via f. corridoni 2, 20020 busto garolfo mi, busto garolfo",45.5468212,8.8839791,41.31,150.88,41.18,MIAA8DL00D,IC G. TARRA,0,0,1
MIAA8DY008,IC S.AMBROGIO,MILANO,"Via De Nicola 2, 20142 MILANO MI","lombardia, italia, via de nicola 2, 20142 milano mi, milano",45.4304006,9.1593977,22.43,77.17,25.23,MIAA8DY008,IC S.AMBROGIO,0,0,1
MIAA8E300Q,IC G.UNGARETTI,MELZO,"Via L. Da Vinci 1, 20066 MELZO MI","lombardia, italia, via l. da vinci 1, 20066 melzo mi, melzo",45.5021136,9.4190908,16.42,55.64,16.2,MIAA8E300Q,IC G.UNGARETTI,3,0,2
MIAA8E400G,IC MARGHERITA HACK,CERNUSCO SUL NAVIGLIO,"Via Goldoni 2, 20063 CERNUSCO SUL NAVIGLIO MI","lombardia, italia, via goldoni 2, 20063 cernusco sul naviglio mi, cernusco sul naviglio",45.5328803,9.3416159,5.52,19.16,5.39,MIAA8E400G,IC MARGHERITA HACK,5,0,0
MIAA8E500B,I.C. RITA LEVI MONTALCINI,CERNUSCO SUL NAVIGLIO,"Via Bellini 1, 20063 CERNUSCO SUL NAVIGLIO MI","lombardia, italia, via bellini 1, 20063 cernusco sul naviglio mi, cernusco sul naviglio",45.5241338,9.3342162,6.67,23.47,7.66,MIAA8E500B,I.C. RITA LEVI MONTALCINI,4,0,2
MIAA8E7003,I.C. TIZIANO TERZANI,ABBIATEGRASSO,"Via Stignani 61, 20081 ABBIATEGRASSO MI","lombardia, italia, via stignani 61, 20081 abbiategrasso mi, abbiategrasso",45.3925864,8.9107391,42.11,150.95,50.03,MIAA8E7003,I.C. TIZIANO TERZANI,2,0,1
MIAA8E800V,I.C. ALDO MORO,ABBIATEGRASSO,"Via F. Baracca 26, 20081 ABBIATEGRASSO MI","lombardia, italia, via f. baracca 26, 20081 abbiategrasso mi, abbiategrasso",45.3975857,8.9205948,41.04,147.47,45.29,MIAA8E800V,I.C. ALDO MORO,1,0,0
MIAA8E900P,I.C. VIA PALESTRO,ABBIATEGRASSO,"Via Palestro 27, 20081 ABBIATEGRASSO MI","lombardia, italia, via palestro 27, 20081 abbiategrasso mi, abbiategrasso",45.3942134,8.9156909,41.63,149.28,49.47,MIAA8E900P,I.C. VIA PALESTRO,1,0,0
MIAA8EB00X,IC EUROPA UNITA,ARESE,"Via Varzi 13, 20020 ARESE MI","lombardia, italia, via varzi 13, 20020 arese mi, arese",45.5681097,9.0640732,24.55,87.89,27.6,MIAA8EB00X,IC EUROPA UNITA,0,0,1
MIAA8EC00Q,IC DON GNOCCHI,ARESE,"Via Giannetto 3, 20020 ARESE MI","lombardia, italia, via giannetto 3, 20020 arese mi, arese",45.5477044,9.0787499,22.12,74.75,26.57,MIAA8EC00Q,IC DON GNOCCHI,0,0,1
MIAA8EF007,IC PADRE PINO PUGLISI,BUCCINASCO,"Via Tiziano 7, 20090 BUCCINASCO MI","lombardia, italia, via tiziano 7, 20090 buccinasco mi, buccinasco",45.4270451,9.1202738,25.39,88.64,42.43,MIAA8EF007,IC PADRE PINO PUGLISI,1,0,1
MIAA8EG003,IC RITA LEVI MONTALCINI,BUCCINASCO,"Via degli Alpini 7, 20090 BUCCINASCO MI","lombardia, italia, via degli alpini 7, 20090 buccinasco mi, buccinasco",45.4330165,9.1206041,24.69,86.46,42.96,MIAA8EG003,IC RITA LEVI MONTALCINI,3,0,3
MIAA8EJ004,IC VIALE LOMBARDIA,COLOGNO MONZESE,"Viale Lombardia 213, 20093 COLOGNO MONZESE MI","lombardia, italia, viale lombardia 213, 20093 cologno monzese mi, cologno monzese",45.5342008,9.2753254,4.67,16.3,5.17,MIAA8EJ004,IC VIALE LOMBARDIA,10,0,0
MIAA8EK00X,I.C. KAROL WOJTYLA,GARBAGNATE MILANESE,"Via dei Gelsi 19, 20024 GARBAGNATE MILANESE MI","lombardia, italia, via dei gelsi 19, 20024 garbagnate milanese mi, garbagnate milanese",45.5704286,9.076768,23.26,80.11,27.44,MIAA8EK00X,I.C. KAROL WOJTYLA,0,0,1
MIAA8EL00Q,IC FUTURA,GARBAGNATE MILANESE,"Via Foscolo 27, 20024 GARBAGNATE MILANESE MI","lombardia, italia, via foscolo 27, 20024 garbagnate milanese mi, garbagnate milanese",45.5862734,9.0742959,23.29,79.25,25.72,MIAA8EL00Q,IC FUTURA,4,0,1
MIAA8EM00G,IC G. CAVALCANTI,SAN GIULIANO MILANESE,"Via Giovanni XXIII 5, 20098 SAN GIULIANO MILANESE MI","lombardia, italia, via giovanni xxiii 5, 20098 san giuliano milanese mi, san giuliano milanese",45.3991716,9.2790356,25.32,86.75,22.2,MIAA8EM00G,IC G. CAVALCANTI,2,0,1
